,causal_model_name,model_t,model_y,est_ate,true_ate,mu_risk,tao_risk,run_time,data,file_name,best_model_y_params,best_model_t_params
0,TLearner,,RandomForestClassifier,0.2775,0.197006069193618,,0.0064792728966626,0.5153207778930664,acic,high3191,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}","{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}"
1,TLearner,,LogisticRegressionCV,0.44,0.197006069193618,,0.0590460504087367,2.761989116668701,acic,high3191,,
2,TLearner,,MLPClassifier,0.2965,0.197006069193618,,0.0098990422673051,20.400649070739743,acic,high3191,,
3,LinearDML,RandomForestClassifier,RandomForestClassifier,0.282480998996822,0.197006069193618,,0.0073059636248626,27.943137884140015,acic,high3191,,
4,LinearDML,LogisticRegressionCV,RandomForestClassifier,0.3559457248943073,0.197006069193618,,0.0252618141542536,26.454985857009888,acic,high3191,,
5,LinearDML,MLPClassifier,RandomForestClassifier,0.2432421690598831,0.197006069193618,,0.0021377769308432,35.81723594665527,acic,high3191,,
6,LinearDML,str,RandomForestClassifier,0.0951418515061583,0.197006069193618,,0.0103763188450781,17.580411195755005,acic,high3191,,
7,LinearDML,RandomForestClassifier,LogisticRegressionCV,0.2461859673835523,0.197006069193618,,0.0024186623859723,75.25323009490967,acic,high3191,,
8,LinearDML,LogisticRegressionCV,LogisticRegressionCV,0.3214456891458436,0.197006069193618,,0.0154852190138543,81.5209391117096,acic,high3191,,
9,LinearDML,MLPClassifier,LogisticRegressionCV,0.3335407793212738,0.197006069193618,,0.0186417270696429,87.53137588500977,acic,high3191,,
10,LinearDML,str,LogisticRegressionCV,0.073501109263801,0.197006069193618,,0.0152534751272656,84.28397679328918,acic,high3191,,
11,LinearDML,RandomForestClassifier,MLPClassifier,0.1216396456366625,0.197006069193618,,0.0056800977997664,181.58785700798035,acic,high3191,,
12,LinearDML,LogisticRegressionCV,MLPClassifier,0.2102150687832915,0.197006069193618,,0.0001744776701599,184.00982785224917,acic,high3191,,
13,LinearDML,MLPClassifier,MLPClassifier,0.1744874022223322,0.197006069193618,,0.0005070903621636,154.79783701896667,acic,high3191,,
14,LinearDML,str,MLPClassifier,0.1687169873773828,0.197006069193618,,0.0008002721500056,194.0843858718872,acic,high3191,,
15,LinearDML,RandomForestClassifier,str,0.103864155501317,0.197006069193618,,0.008675416086264,6238.033571004868,acic,high3191,,
16,LinearDML,LogisticRegressionCV,str,0.1451538626830008,0.197006069193618,,0.0026886513200196,5989.897243022919,acic,high3191,,
17,LinearDML,MLPClassifier,str,0.1391782903008617,0.197006069193618,,0.0033440520116695,6189.739135026932,acic,high3191,,
18,LinearDML,str,str,0.2059202575848475,0.197006069193618,,7.946275467433097e-05,6041.912127017975,acic,high3191,,
19,KernelDML,RandomForestClassifier,RandomForestClassifier,0.1186390936274725,0.197006069193618,,0.0061413828593848,1.5036909580230713,acic,high3191,,
20,KernelDML,LogisticRegressionCV,RandomForestClassifier,0.2065749219167756,0.197006069193618,,9.156294243748072e-05,2.978734016418457,acic,high3191,,
21,KernelDML,MLPClassifier,RandomForestClassifier,0.1985005384094838,0.197006069193618,,2.233438237170692e-06,18.392839908599857,acic,high3191,,
22,KernelDML,str,RandomForestClassifier,0.1355148301202971,0.197006069193618,,0.0037811724827723,9.261811971664429,acic,high3191,,
23,KernelDML,RandomForestClassifier,LogisticRegressionCV,0.2037161396548527,0.197006069193618,,4.50250455947356e-05,2.680479049682617,acic,high3191,,
24,KernelDML,LogisticRegressionCV,LogisticRegressionCV,0.2383690415301617,0.197006069193618,,0.0017108954805136,3.749090194702149,acic,high3191,,
25,KernelDML,MLPClassifier,LogisticRegressionCV,0.164527593338101,0.197006069193618,,0.0010548513938973,19.643274068832397,acic,high3191,,
26,KernelDML,str,LogisticRegressionCV,0.1964441691955896,0.197006069193618,,3.1573160778426986e-07,9.490946054458618,acic,high3191,,
27,KernelDML,RandomForestClassifier,MLPClassifier,0.1115646802909342,0.197006069193618,,0.0073002309376196,16.65728998184204,acic,high3191,,
